债券代码,交易日期,spread
78009,201602,0.518055418
78009,201603,0.68771741
78009,201604,0.506556798
78009,201605,0.607742523
78009,201606,0.526359079
78009,201607,0.547290697
78009,201608,0.404708734
78009,201609,0.668966902
78009,201610,0.556054438
78009,201611,0.012211322
78009,201612,1.318255034
78009,201701,0.978942772
78009,201702,0.604562168
78009,201703,1.360377787
78009,201704,0.904603302
78010,201304,0.924946237
78010,201305,0.928274637
78010,201306,0.81953899
78010,201307,0.63535491
78010,201308,0.333497461
78010,201309,0.330847564
78010,201310,0.134263974
78010,201404,0.006039789
78010,201405,0.307268249
78010,201406,0.319984316
78010,201407,0.11846162
78010,201408,0.141425868
78010,201409,0.381773299
78010,201410,0.588656896
78010,201411,0.864752216
78010,201412,0.715409653
78010,201501,0.881478076
78010,201502,1.094957497
78010,201503,0.713778594
78010,201504,0.973023196
78010,201505,0.739667966
78010,201506,0.797980796
78010,201507,0.880551951
78010,201508,0.985293891
78010,201509,1.055683032
78010,201510,1.256842806
78010,201511,1.279219948
78010,201512,1.479392189
78010,201601,1.443758891
78010,201602,1.465629609
78010,201603,1.635217939
78010,201604,1.420882702
78010,201605,1.400403715
78010,201606,1.517244424
78010,201607,1.61874789
78010,201608,1.617793201
78010,201609,1.662027748
78010,201610,1.777645686
78010,201611,1.502139969
78010,201612,1.403844749
78010,201701,1.204812901
78010,201702,1.258781476
78010,201703,1.188720021
78010,201704,0.92624332
78010,201705,0.691383771
78010,201706,0.771712657
78010,201707,0.700831061
78010,201708,0.644403178
78010,201709,0.64307402
78010,201710,0.399268725
78010,201711,0.413665968
78010,201712,0.416613941
78010,201801,0.719483965
78010,201802,0.839620516
78010,201803,0.850010796
78010,201804,1.233157731
78010,201805,1.115080846
78010,201806,1.141617028
78010,201807,1.345692679
78010,201808,1.155675644
78010,201809,1.127054148
78010,201810,1.246391482
78010,201811,1.418350129
78010,201812,1.564717224
78010,201901,1.755440388
78010,201902,1.683205389
78010,201903,1.74839925
78010,201904,1.439290483
78010,201905,1.541006893
78010,201906,1.547622474
78010,201907,1.601221836
78010,201908,1.715556869
78010,201909,1.710289309
78010,201910,1.623329355
78010,201911,1.723329351
78010,201912,1.888922903
78010,202001,1.962178412
78010,202002,2.165034567
78010,202003,2.55103532
78010,202004,3.100994746
78010,202005,2.627908483
78010,202006,2.245076571
78010,202007,2.023649189
78010,202008,1.781755389
78010,202009,1.714940731
78010,202010,1.663687904
78010,202011,1.55649081
78010,202012,1.908266631
78010,202101,1.700687185
78010,202102,1.777323525
78010,202103,1.839137816
78010,202104,2.101631202
78010,202105,2.087871607
78010,202106,2.119204157
78010,202107,2.468556114
78010,202108,2.331055016
78010,202109,2.164549645
78010,202110,2.035587564
78010,202111,2.079260178
78010,202112,2.296781225
78019,201302,1.615332734
78019,201303,1.638131976
78019,201304,1.800536151
78019,201305,1.783853817
78019,201306,1.64388914
78019,201307,1.334184936
78019,201308,1.066897965
78019,201309,1.127141615
78019,201310,0.92335261
78019,201311,0.681830601
78019,201312,0.526673667
78019,201401,0.864162392
78019,201402,1.17970266
78019,201403,1.108095704
78019,201404,1.060226647
78019,201405,1.195343214
78019,201406,1.300130252
78019,201407,1.16709571
78019,201408,1.151313062
78019,201409,1.307064702
78019,201410,1.714134156
78019,201411,1.919927069
78019,201412,1.84417122
78019,201501,2.023119461
78019,201502,2.124084479
78019,201503,1.981186883
78019,201504,2.306416454
78019,201505,2.850538537
78019,201506,3.038998725
78019,201507,2.85506879
78019,201508,2.897258261
78019,201509,2.868093899
78019,201603,0.765160888
78019,201604,1.261652507
78019,201605,1.186318763
78019,201606,1.039702693
78019,201607,1.094956198
78019,201608,0.646904751
78019,201609,0.432488536
78019,201610,0.220749929
78019,201703,1.640031178
78019,201704,1.224191616
78019,201705,0.818015539
78020,201206,2.163908346
78020,201207,2.241348925
78020,201208,1.991612161
78020,201209,1.923990707
78020,201210,1.893596253
78020,201211,1.892047588
78020,201212,1.946297533
78020,201301,1.881992066
78020,201302,1.850953845
78020,201303,1.877827909
78020,201304,2.04505422
78020,201305,2.033707523
78020,201306,1.898608689
78020,201307,1.59432397
78020,201308,1.33170811
78020,201309,1.398271115
78020,201310,1.200499336
78020,201311,0.964596593
78020,201312,0.816622706
78020,201401,1.158326162
78020,201402,1.48341444
78020,201403,1.414559515
78020,201404,1.379843453
78020,201405,1.523500199
78020,201406,1.636507979
78020,201407,1.51400247
78020,201408,1.507297471
78020,201409,1.674383253
78020,201410,2.092898828
78020,201411,2.308437007
78020,201412,2.247954375
78020,201501,2.440103511
78020,201502,2.555822617
78020,201503,2.428991776
78020,201504,2.77191804
78020,201505,3.334198801
78020,201506,3.537760983
78020,201507,3.3823226
78020,201508,3.444276739
78020,201509,3.445283102
78020,201510,3.64802213
78020,201511,3.551963652
78020,201512,3.949370448
78020,201601,4.02701605
78020,201602,4.193993946
78020,201603,4.558508481
78020,201604,4.495530663
78020,201605,4.693649449
78020,201606,4.837365671
78020,201607,5.209371791
78020,201608,5.611944635
78020,201609,5.940542162
78020,201610,6.437189815
78020,201611,6.80038217
78020,201612,7.277772296
78020,201701,8.372229419
78020,201702,10.27470138
78020,201703,13.46712698
78020,201704,20.84960575
78020,201705,68.92555447
78031,200809,1.475946288
78031,200810,2.118447767
78031,200811,2.301656346
78031,200812,2.683196655
78031,200901,2.250407153
78031,200902,2.186378958
78031,200903,2.153268802
78031,200904,2.154128701
78031,200905,2.203199371
78031,200906,2.069039917
78031,200907,1.80640372
78031,200908,1.902677281
78031,200909,1.755157627
78031,200910,1.571488737
78031,200911,1.820248731
78031,200912,1.683437961
78031,201001,1.707346686
78031,201002,1.855626822
78031,201003,1.930997636
78031,201004,1.995943804
78031,201005,2.117659871
78031,201006,2.117180324
78031,201007,2.12934482
78031,201008,2.173946454
78031,201009,2.031596629
78031,201010,1.564169186
78031,201011,1.177333854
78031,201012,1.335353868
78031,201101,1.181552125
78031,201102,1.183991668
78031,201103,1.304748047
78031,201104,1.34997762
78031,201105,1.38092297
78031,201106,1.338145292
